Species,Growth_rate,Timepoint
EC,4.15098048051346,0h
PP,9.55388861721478,0h
EC,4.15519004445858,0h
PP,17.4922263560638,0h
EC,4.40563540765563,0h
PP,21.0993696273181,0h
EC,4.12594797264411,4h
PP,6.91643985052801,4h
EC,4.20830984764052,4h
PP,12.0674597787214,4h
EC,4.09406858179709,4h
PP,13.9905923795474,4h
EC,4.86149927033904,8h
PP,13.2883731082764,8h
EC,5.06142506336482,8h
PP,14.3591358339071,8h
EC,4.37174169766634,8h
PP,12.6979277916827,8h
EC,4.32818172104373,24h
PP,4.94172132217794,24h
EC,4.3584101712052,24h
PP,5.46750545896974,24h
EC,4.41701069899799,24h
PP,7.05961094599477,24h
