Lambda,Solutions
L = 0.1,845.158992870744
L = 0.1,845.495815517438
L = 0.1,846.330518286904
L = 0.1,851.838558203364
L = 0.1,846.139065094033
L = 0.5,693.95378949077
L = 0.5,695.922542175994
L = 0.5,700.478855161194
L = 0.5,728.464019351419
L = 0.5,697.955018458057
L = 1,525.297130124667
L = 1,529.032236905379
L = 1,537.45771888543
L = 1,594.062554467444
L = 1,533.152629791294
L = 2,227.14749180405
L = 2,233.619328660686
L = 2,248.323253931971
L = 2,352.821646122053
L = 2,242.702907194324
L = 3,84.5689797771527
L = 3,89.357268827672
L = 3,102.733845633009
L = 3,195.039902505077
L = 3,99.0026814842414
L = 4,46.8713308423333
L = 4,51.650372934563
L = 4,63.7204123109552
L = 4,149.843212910272
L = 4,63.5456156141222
L = 5,30.460984945446
L = 5,34.226546091346
L = 5,45.4487171607125
L = 5,128.983782425429
L = 5,50.7950150063634
L = 6,18.3600177551257
L = 6,21.6038337379451
L = 6,31.0030545631519
L = 6,112.373218666152
L = 6,40.6874200554388
L = 7,12.1581597326605
L = 7,14.8440516940844
L = 7,22.2484009905892
L = 7,98.9990489287968
L = 7,32.3273990901585
L = 8,7.69317539426572
L = 8,9.95717400598608
L = 8,16.935032069576
L = 8,89.8991560374714
L = 8,25.3473114345303
L = 9,4.85554188728615
L = 9,7.02841492445778
L = 9,13.3155354812318
L = 9,83.3375569566361
L = 9,20.7050979348335
L = 10,2.59798160822657
L = 10,4.53576861207498
L = 10,10.4694467351084
L = 10,77.7852821660917
L = 10,16.795932372094
L = 12,0.807748515353812
L = 12,2.0022545939714
L = 12,7.34981152315415
L = 12,69.8215265052375
L = 12,13.6377796694943
L = 14,0.634857320238701
L = 14,1.66104156988381
L = 14,6.03255960301653
L = 14,63.6368600465915
L = 14,12.0196083841157
L = 15,0.608430713721826
L = 15,1.60341597953404
L = 15,5.69433171713065
L = 15,61.2611877445872
L = 15,11.4831664859557
L = 16,0.599237213335089
L = 16,1.55785495235498
L = 16,5.38402035138353
L = 16,59.2599979633056
L = 16,10.985337273597
L = 18,0.587633175500878
L = 18,1.47748933379744
L = 18,4.83267335048133
L = 18,56.6252407329911
L = 18,10.0275634440713
L = 20,0.580771566652132
L = 20,1.4355545780942
L = 20,4.41241199403196
L = 20,54.6242417554522
L = 20,9.33728083150786
L = 22,0.577448329369577
L = 22,1.40758068701317
L = 22,4.06692640631752
L = 22,53.1561823895
L = 22,8.96195559766062
L = 24,0.575007069746793
L = 24,1.3886698919195
L = 24,3.94932725755613
L = 24,51.8986023574426
L = 24,8.79906197034401
L = 25,0.573859287425517
L = 25,1.38241853143725
L = 25,3.94668743761334
L = 25,51.4702370787595
L = 25,8.72657061655609
L = 50,0.560379306020919
L = 50,1.33956604730745
L = 50,3.9245955560563
L = 50,45.8118034171081
L = 50,8.23965533649605
L = 75,0.556182227104475
L = 75,1.32121142005041
L = 75,3.92424685701437
L = 75,44.8422213004045
L = 75,7.99737101141333
L = 100,0.55321295660529
L = 100,1.30427209092677
L = 100,3.92404032418011
L = 100,44.5258436818096
L = 100,7.87753327543339
